epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3081,1.3556,8.34745,1.2428,0.2352,0.2,0.12103,0.09239,0.63,8.45443,0.91259,4e-05,4e-05,4e-05
2,34.551,1.31586,7.29489,1.2566,0.24184,0.2,0.12527,0.09895,0.64785,9.10875,0.9085,9.835e-05,9.835e-05,9.835e-05
3,36.0813,1.38058,7.77744,1.30006,0.96028,0.8,0.96167,0.81867,0.61372,6.39643,0.88322,0.00015472,0.00015472,0.00015472
4,37.84,1.27127,5.27613,1.25659,0.55428,0.9954,0.57922,0.48487,0.69137,7.30415,0.86562,0.00020911,0.00020911,0.00020911
5,39.5524,0.97939,4.15716,1.03715,0.98303,1,0.995,0.78083,0.85473,6.03858,1.04055,0.00026152,0.00026152,0.00026152
6,41.1489,1.15035,3.06913,1.16606,0.77617,0.8,0.78611,0.56089,0.92526,10.1939,1.12874,0.00031195,0.00031195,0.00031195
7,43.3263,1.04832,2.37112,1.10269,0.68386,0.6,0.56299,0.43031,1.08716,13.3069,1.17687,0.0003604,0.0003604,0.0003604
8,45.5718,0.96273,2.21608,1.11488,0.91212,0.8,0.79579,0.59596,0.83943,15.0805,1.05417,0.00040687,0.00040687,0.00040687
9,47.2466,0.99391,1.76823,1.16351,0.9138,0.4,0.45069,0.38049,0.84887,19.115,1.14574,0.00045136,0.00045136,0.00045136
10,49.1904,1.02884,1.58162,1.14573,0.06604,0.2,0.21612,0.19123,0.92274,24.2209,1.16088,0.00049387,0.00049387,0.00049387
11,50.8809,1.07679,1.4447,1.17462,0.97741,0.8,0.795,0.64575,0.84124,11.1987,1.17304,0.0005344,0.0005344,0.0005344
12,52.6493,1.00965,1.40803,1.12764,0.00157,0.4,0.00063,0.00043,0.72532,117.974,1.06612,0.00057295,0.00057295,0.00057295
13,54.2706,0.87856,1.0206,1.03501,0.16774,0.6,0.13276,0.09782,0.91684,3.67111,1.24515,0.00060952,0.00060952,0.00060952
14,56.2493,0.94029,1.14346,1.09771,0.01465,0.8,0.01173,0.00902,1.06406,218.069,1.42628,0.00064411,0.00064411,0.00064411
15,59.1879,1.06858,1.24704,1.18028,0.00629,0.8,0.00502,0.00275,1.52251,inf,2.00642,0.00067672,0.00067672,0.00067672
16,60.8986,0.99317,1.06947,1.12188,0.00374,0.4,0.00292,0.00205,1.75205,inf,2.43517,0.00070735,0.00070735,0.00070735
17,62.8246,0.96425,0.94837,1.05107,0.00695,0.6,0.00631,0.00447,1.47013,967.857,5.77083,0.000736,0.000736,0.000736
18,64.5473,1.16309,1.02651,1.18056,0.06047,0.8,0.05921,0.03596,1.17709,15.4338,1.60944,0.00076267,0.00076267,0.00076267
19,66.0715,1.09536,1.10133,1.15982,0.30604,0.8,0.30018,0.24364,0.90568,1.74809,1.17675,0.00078736,0.00078736,0.00078736
20,67.8241,1.07606,0.82286,1.19408,0.51672,0.8,0.64579,0.40414,1.12739,2.01457,1.35954,0.00081007,0.00081007,0.00081007
21,69.8641,1.04965,0.81198,1.17152,0.63778,0.71334,0.66696,0.34343,1.38839,2.24363,1.94359,0.0008308,0.0008308,0.0008308
22,72.3285,1.02771,1.02582,1.2575,0.71018,0.98276,0.93786,0.66401,0.99592,1.27664,1.2712,0.00084955,0.00084955,0.00084955
23,73.9784,0.99117,0.8354,1.21009,1,0.74242,0.85056,0.64777,0.73273,1.55449,1.02578,0.00086632,0.00086632,0.00086632
24,75.7366,0.99171,0.79761,1.16091,0.97072,0.4,0.565,0.4599,0.71693,1.65783,1.03874,0.00088111,0.00088111,0.00088111
25,77.634,0.87472,0.71492,1.06645,0.86893,0.4,0.45543,0.35814,1.19706,3.07617,1.55507,0.00089392,0.00089392,0.00089392
26,79.4372,0.94286,0.69874,1.1061,0.44811,0.6,0.5113,0.40369,1.18756,4.27678,1.5544,0.00090475,0.00090475,0.00090475
27,81.084,0.97259,0.77608,1.08224,1,0.76217,0.83346,0.64284,0.94308,1.90921,1.31222,0.0009136,0.0009136,0.0009136
28,82.999,0.98526,0.91672,1.03541,0.9475,1,0.995,0.76575,0.99627,2.11171,1.50629,0.00092047,0.00092047,0.00092047
29,85.6114,0.87162,0.6657,0.98087,0.9475,1,0.995,0.76575,0.99627,2.11171,1.50629,0.00092536,0.00092536,0.00092536
30,87.5365,0.86638,0.72423,1.05772,0.82945,1,0.995,0.7815,0.7288,3.01585,1.18534,0.00092827,0.00092827,0.00092827
31,89.0962,0.94929,0.78698,1.10297,0.63515,0.6,0.795,0.65138,0.75888,3.86065,1.20583,0.0009292,0.0009292,0.0009292
32,90.7805,0.99427,0.78374,1.06691,0.7003,1,0.88071,0.72099,0.82051,3.77907,1.21491,0.00092815,0.00092815,0.00092815
33,92.4547,0.95055,0.63556,1.09374,0.7003,1,0.88071,0.72099,0.82051,3.77907,1.21491,0.00092512,0.00092512,0.00092512
34,94.2768,0.93076,0.67087,1.0717,0.89487,1,0.995,0.90038,0.64854,1.53213,1.04151,0.000911,0.000911,0.000911
35,96.1832,0.88639,0.67629,1.01222,0.93974,1,0.995,0.8025,0.91658,1.84831,1.51698,0.000878,0.000878,0.000878
36,99.1715,0.94091,0.68413,1.0703,0.77945,1,0.92833,0.78483,0.80943,1.55548,1.1315,0.000845,0.000845,0.000845
37,101.058,0.86751,0.60927,1.0275,0.77945,1,0.92833,0.78483,0.80943,1.55548,1.1315,0.000812,0.000812,0.000812
38,102.859,0.91723,0.61143,1.05463,0.76391,0.8,0.93786,0.74592,0.82007,2.19342,1.0666,0.000779,0.000779,0.000779
39,104.524,0.80342,0.61565,1.00948,0.98843,0.8,0.90611,0.71588,0.78944,1.46377,1.05852,0.000746,0.000746,0.000746
40,106.265,1.09464,0.68198,1.18761,0.96895,0.6,0.82833,0.67647,0.8076,0.84951,1.05855,0.000713,0.000713,0.000713
41,108.002,0.7315,0.57956,0.97403,0.96895,0.6,0.82833,0.67647,0.8076,0.84951,1.05855,0.00068,0.00068,0.00068
42,109.828,0.78329,0.64023,1.01672,0.97668,0.6,0.88071,0.64008,0.92246,0.89087,1.13648,0.000647,0.000647,0.000647
43,112.276,0.83033,0.55972,0.97356,0.97678,0.6,0.72132,0.56953,0.87062,0.9775,1.11732,0.000614,0.000614,0.000614
44,113.8,0.88021,0.57472,1.07987,0.97058,0.6,0.72683,0.57504,0.98827,1.2595,1.22066,0.000581,0.000581,0.000581
45,115.515,0.85526,0.53579,1.03783,0.97058,0.6,0.72683,0.57504,0.98827,1.2595,1.22066,0.000548,0.000548,0.000548
46,117.307,0.76163,0.5385,1.02315,1,0.78863,0.86167,0.65667,0.99162,0.97469,1.2082,0.000515,0.000515,0.000515
47,119.08,0.79267,0.51672,1.01364,0.98439,1,0.995,0.80312,0.73755,0.56724,1.01232,0.000482,0.000482,0.000482
48,120.918,0.72565,0.49907,0.96419,0.98571,1,0.995,0.8674,0.61102,0.48838,0.92338,0.000449,0.000449,0.000449
49,122.957,0.71306,0.49283,0.99142,0.98571,1,0.995,0.8674,0.61102,0.48838,0.92338,0.000416,0.000416,0.000416
50,125.546,0.78619,0.49866,1.04964,0.98885,1,0.995,0.88125,0.59096,0.42364,0.93198,0.000383,0.000383,0.000383
51,131.529,0.76642,0.48765,0.95023,0.98917,1,0.995,0.84833,0.58411,0.39524,0.95186,0.00035,0.00035,0.00035
52,134.361,0.69854,0.49274,0.94733,0.98944,1,0.995,0.875,0.56348,0.36331,0.95265,0.000317,0.000317,0.000317
53,137.641,0.74614,0.55247,0.96848,0.98944,1,0.995,0.875,0.56348,0.36331,0.95265,0.000284,0.000284,0.000284
54,140.703,0.67082,0.46877,0.91526,0.98998,1,0.995,0.8555,0.57668,0.32645,0.96091,0.000251,0.000251,0.000251
55,142.844,0.62884,0.46187,0.96309,0.99003,1,0.995,0.8555,0.59031,0.33518,0.96482,0.000218,0.000218,0.000218
56,144.644,0.6586,0.48378,0.94349,0.99021,1,0.995,0.8755,0.59028,0.35578,0.95079,0.000185,0.000185,0.000185
57,146.211,0.62422,0.46985,0.91578,0.99021,1,0.995,0.8755,0.59028,0.35578,0.95079,0.000152,0.000152,0.000152
58,147.887,0.59611,0.44178,0.9005,0.99031,1,0.995,0.8715,0.59457,0.36418,0.94385,0.000119,0.000119,0.000119
59,149.943,0.62666,0.47117,0.87052,0.99037,1,0.995,0.8755,0.59914,0.35754,0.93944,8.6e-05,8.6e-05,8.6e-05
60,152.69,0.65959,0.45976,0.93886,0.99023,1,0.995,0.8755,0.5996,0.36328,0.93411,5.3e-05,5.3e-05,5.3e-05
